run_id,duration
4V9E_001a6fcc8b38cbc515be788a86bdc804_repeat_1,154.60513615608215
4V9E_001a6fcc8b38cbc515be788a86bdc804_repeat_2,121.01919937133789
4V9E_001a6fcc8b38cbc515be788a86bdc804_repeat_3,119.81175446510315
4V9E_01f0f1cf81ef9193f2946db78ea759ee_repeat_1,206.90289902687073
4V9E_01f0f1cf81ef9193f2946db78ea759ee_repeat_2,185.1977241039276
4V9E_01f0f1cf81ef9193f2946db78ea759ee_repeat_3,180.84437370300293
4V9E_03d84046b0ce567b2b59e85903aa2f5f_repeat_1,236.30424523353577
4V9E_03d84046b0ce567b2b59e85903aa2f5f_repeat_2,216.56730604171753
4V9E_03d84046b0ce567b2b59e85903aa2f5f_repeat_3,219.15085768699646
4V9E_043721b9c7fe8c5fad811d47d83132ec_repeat_1,62.69350075721741
4V9E_043721b9c7fe8c5fad811d47d83132ec_repeat_2,56.941957235336304
4V9E_043721b9c7fe8c5fad811d47d83132ec_repeat_3,57.85764479637146
4V9E_08677281806ea9c8ea2451ce3093e9c3_repeat_1,96.75684404373169
4V9E_08677281806ea9c8ea2451ce3093e9c3_repeat_2,88.76583671569824
4V9E_08677281806ea9c8ea2451ce3093e9c3_repeat_3,92.35509419441223
4V9E_0922ee996ecffb2c0c5f16d1261f6dfa_repeat_1,154.426185131073
4V9E_0922ee996ecffb2c0c5f16d1261f6dfa_repeat_2,146.93174123764038
4V9E_0922ee996ecffb2c0c5f16d1261f6dfa_repeat_3,146.7186095714569
4V9E_09fc2d10bdd6225e167a6f81a22a3f06_repeat_1,154.8296058177948
4V9E_09fc2d10bdd6225e167a6f81a22a3f06_repeat_2,150.95220470428467
4V9E_09fc2d10bdd6225e167a6f81a22a3f06_repeat_3,148.91037726402283
4V9E_0ee493fe7bb618a0ae642840558f62a0_repeat_1,125.39896750450134
4V9E_0ee493fe7bb618a0ae642840558f62a0_repeat_2,122.07422280311584
4V9E_0ee493fe7bb618a0ae642840558f62a0_repeat_3,122.5727698802948
4V9E_168e95938db8e7c52112e58c0f292079_repeat_1,149.85255670547485
4V9E_168e95938db8e7c52112e58c0f292079_repeat_2,136.25768065452576
4V9E_168e95938db8e7c52112e58c0f292079_repeat_3,134.7843794822693
4V9E_19092e5d6cd57f13de1b98f46e22aa22_repeat_1,206.8845579624176
4V9E_19092e5d6cd57f13de1b98f46e22aa22_repeat_2,206.0821874141693
4V9E_19092e5d6cd57f13de1b98f46e22aa22_repeat_3,202.2929286956787
4V9E_1965d5ec723711e8cb36cbb979d90b3f_repeat_1,191.92033433914185
